taxon_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Abelmoschus ficulneus,FALSE,TRUE,NA,NA,1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Abelmoschus manihot,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abelmoschus moschatus,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Abelmoschus moschatus subsp. tuberosus,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abrodictyum caudatum,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abrodictyum obscurum,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Abrotanella,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Abrotanella forsteroides,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Abrotanella nivigena,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abrus precatorius,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Abrus precatorius subsp. precatorius,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Abutilon,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Abutilon calliphyllum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon cryptopetalum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abutilon fraseri,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon fraseri subsp. diplotrichum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon fraseri subsp. fraseri,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon halophilum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon hannii,FALSE,TRUE,NA,NA,1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Abutilon indicum,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon indicum subsp. albescens,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon lepidum,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon leucopetalum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Abutilon macrum,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon malvifolium,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon otocarpum,TRUE,TRUE,NA,NA,1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Abutilon oxycarpum,FALSE,TRUE,NA,NA,0--1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Abutilon oxycarpum f. acutatum,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Abutilon oxycarpum var. incanum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Abutilon oxycarpum var. oxycarpum,FALSE,FALSE,NA,NA,0--1,NA,NA,1,1,NA,NA,0.2,NA,NA,0.5848035476
Abutilon oxycarpum var. subsagittatum,FALSE,FALSE,NA,NA,0--1,NA,NA,1,1,NA,NA,0.2,NA,NA,0.5848035476
Acacia abbreviata,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia abrupta,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia acanthoclada,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia acanthoclada subsp. acanthoclada,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia acinacea,TRUE,NA,3,NA,5--20,NA,NA,0.2,NA,0.2,NA,1,NA,NA,0.3419951893
Acacia acradenia,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia aculeatissima,TRUE,TRUE,4,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Acacia acuminata,TRUE,TRUE,NA,5,NA,NA,NA,0.2,0.2,NA,1,NA,NA,NA,0.3419951893
Acacia acuminata subsp. burkittii,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia adoxa var. adoxa,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Acacia adsurgens,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia adunca,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia aemula subsp. muricata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia alata,TRUE,TRUE,NA,2,NA,NA,NA,0.2,0.2,NA,0.2,NA,NA,NA,0.2
Acacia alaticaulis,FALSE,NA,3,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.4472135955
Acacia alleniana,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia alpina,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia amanda,TRUE,NA,NA,NA,4--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Acacia ammobia,FALSE,TRUE,NA,NA,6--10,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia amoena,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia ampliceps,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia anaticeps,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acacia ancistrocarpa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia ancistrophylla var. lissophylla,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia aneura,TRUE,TRUE,NA,4,10--,NA,NA,0.2,0.2,NA,0.2,1,NA,NA,0.2990697562
Acacia aneura var. aneura,FALSE,NA,NA,10,10--,NA,NA,1,NA,NA,1,1,NA,NA,1
Acacia aneura var. Bloods Range (D.J.Nelson 631),NA,NA,NA,NA,10--,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia aneura var. latifolia,NA,NA,NA,NA,10--,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia aneura var. major,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia anomala,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acacia aphylla,FALSE,NA,NA,2.5,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia applanata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia aprepta,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia aptaneura,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia arafurica,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia argyraea,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia argyrophylla,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia arida,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acacia armitii,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia aspera,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia aspera subsp. aspera,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia aspera subsp. parviceps,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia asperulacea,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia assimilis subsp. atroviridis,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia aulacocarpa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia auriculiformis,FALSE,TRUE,NA,NA,6--10,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia auronitens,TRUE,TRUE,NA,2,NA,NA,NA,0.2,0.2,NA,0.2,NA,NA,NA,0.2
Acacia ausfeldii,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia axillaris,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia ayersiana,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia baileyana,FALSE,TRUE,2.616279,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.3419951893
Acacia barbinervis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia barrettiorum,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia barringtonensis,TRUE,TRUE,3,NA,NA,NA,3,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Acacia basedowii,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia baueri subsp. baueri,FALSE,NA,2,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.4472135955
Acacia beadleana,TRUE,TRUE,3,NA,NA,NA,3,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Acacia beckleri,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia betchei,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia bidentata,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia biflora,FALSE,NA,NA,2.5,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia binervata,TRUE,TRUE,5,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,0.2
Acacia binervia,FALSE,NA,2,NA,5--20,NA,NA,1,NA,0.2,NA,1,NA,NA,0.5848035476
Acacia bivenosa,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Acacia bivenosa subsp. wayi,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia blakei subsp. diphylla,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia blakelyi,TRUE,TRUE,NA,2,NA,NA,NA,0.2,0.2,NA,0.2,NA,NA,NA,0.2
Acacia blayana,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia boormanii,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia brachybotrya,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia brachystachya,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia brockii,FALSE,TRUE,NA,NA,4--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia browniana,FALSE,TRUE,NA,2,NA,NA,NA,1,0.2,NA,0.2,NA,NA,NA,0.3419951893
Acacia browniana var. browniana,FALSE,NA,NA,2.416666667,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia brownii,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia brunioides subsp. brunioides,FALSE,TRUE,4,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.3419951893
Acacia bulgaensis,FALSE,NA,3,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.4472135955
Acacia burbidgeae,FALSE,TRUE,8,NA,5--20,NA,NA,1,0.2,1,NA,1,NA,NA,0.668740305
Acacia burkittii,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia buxifolia,TRUE,TRUE,2,NA,NA,NA,2,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Acacia buxifolia subsp. buxifolia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia buxifolia subsp. pubiflora,TRUE,FALSE,5,NA,5--20,2,NA,0.2,1,0.2,NA,1,0.2,NA,0.3807307877
Acacia caerulescens,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia calamifolia,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia calcicola,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia caleyi,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia calligera,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia cambagei,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia carneorum,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia caroleae,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Acacia cataractae,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia catenulata subsp. occidentalis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acacia cavealis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia cedroides,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia celastrifolia,FALSE,NA,NA,3,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia celsa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia chamaeleon,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acacia cheelii,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia chrysella,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Acacia chrysocephala,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia chrysotricha,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia cincinnata,TRUE,TRUE,NA,12,NA,NA,NA,0.2,0.2,NA,1,NA,NA,NA,0.3419951893
Acacia clunies-rossiae,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia cochlearis,FALSE,NA,NA,2,1--5,NA,NA,1,NA,NA,0.2,0.2,NA,NA,0.3419951893
Acacia cognata,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia colei,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia colei var. colei,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia colletioides,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia complanata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia concurrens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia conferta,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia congesta,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acacia conjunctifolia,TRUE,NA,NA,NA,2--3,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Acacia conspersa,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia constablei,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia continua,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia convallium,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia coriacea,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia costiniana,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia courtii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia cowleana,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia crassa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia crassicarpa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia crassistipula,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia cremiflora,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia cultriformis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia cupularis,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia curranii,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia cuthbertsonii subsp. cuthbertsonii,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia cyclops,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia cyperophylla,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia cyperophylla var. cyperophylla,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia dallachiana,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia daviesii,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Acacia daviesioides,FALSE,NA,NA,4,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia dawsonii,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia dealbata,TRUE,TRUE,5,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Acacia dealbata subsp. dealbata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia dealbata subsp. subalpina,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia deanei,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia deanei subsp. deanei,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia deanei subsp. paucijuga,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia debilis,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia decora,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia decurrens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia dentifera,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Acacia desmondii,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Acacia dictyophleba,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Acacia difficilis,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Acacia difformis,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia diffusa,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Acacia dimidiata,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Acacia dimorpha,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Acacia disparrima subsp. disparrima,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia divergens,TRUE,TRUE,NA,2,NA,NA,NA,0.2,0.2,NA,0.2,NA,NA,NA,0.2
Acacia dolichophylla,TRUE,NA,NA,NA,2--3,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Acacia doratoxylon,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia drepanocarpa,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia drepanocarpa subsp. drepanocarpa,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia drepanocarpa subsp. latifolia,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia drewiana subsp. minor,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia drummondii,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia drummondii subsp. candolleana,FALSE,NA,NA,3,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia drummondii subsp. drummondii,FALSE,NA,NA,3,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia drummondii subsp. elegans,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia dunnii,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia echinula,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia echinuliflora,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Acacia elachantha,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Acacia elata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia elongata,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Acacia enervia subsp. enervia,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Acacia enervia subsp. explicata,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Acacia enterocarpa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia ericifolia,FALSE,NA,NA,3,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Acacia erinacea,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia estrophiolata,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Acacia euthycarpa,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Acacia euthycarpa subsp. euthycarpa,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia euthycarpa subsp. oblanceolata,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia excelsa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia excelsa subsp. angusta,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia excelsa subsp. excelsa,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia extensa,FALSE,TRUE,NA,1.583333333,NA,NA,NA,1,0.2,NA,0.2,NA,NA,NA,0.3419951893
Acacia exudans,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia fagonioides,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Acacia falcata,FALSE,TRUE,1.744186,NA,1--5,NA,NA,1,0.2,0.2,NA,0.2,NA,NA,0.2990697562
Acacia falciformis,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Acacia farinosa,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Acacia fecunda,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Acacia filicifolia,TRUE,TRUE,5,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Acacia filifolia,FALSE,NA,NA,3,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
