original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name_authorship,aligned_reason,update_reason,number_of_collapsed_taxa
Acacia pendula,Acacia pendula,Acacia pendula,Acacia pendula,Acacia,species,APC,accepted,A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia peuce,Acacia peuce,Acacia peuce,Acacia peuce,Acacia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia podalyriifolia,Acacia podalyriifolia,Acacia podalyriifolia,Acacia podalyriifolia,Acacia,species,APC,accepted,A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia provincialis,Acacia provincialis,Acacia provincialis,Acacia provincialis,Acacia,species,APC,accepted,A.Camus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia pycnantha,Acacia pycnantha,Acacia pycnantha,Acacia pycnantha,Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia ramulosa,Acacia ramulosa,Acacia ramulosa,Acacia ramulosa,Acacia,species,APC,accepted,W.Fitzg.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia retinodes,Acacia retinodes,Acacia retinodes,Acacia retinodes [alternative possible names: Acacia provincialis (pro parte misapplied) | Acacia uncifolia (pro parte misapplied) | Acacia anceps (misapplied)],Acacia,species,APC,accepted,Schltdl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia rostellifera,Acacia rostellifera,Acacia rostellifera,Acacia rostellifera,Acacia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia saligna,Acacia saligna,Acacia saligna,Acacia saligna [alternative possible names: Acacia cupularis (pro parte taxonomic synonym)],Acacia,species,APC,accepted,(Labill.) H.L.Wendl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia sclerosperma,Acacia sclerosperma,Acacia sclerosperma,Acacia sclerosperma,Acacia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia shirleyi,Acacia shirleyi,Acacia shirleyi,Acacia shirleyi,Acacia,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia sophorae,Acacia sophorae,Acacia longifolia subsp. sophorae,Acacia longifolia subsp. sophorae,Acacia,species,APC,accepted,(Labill.) Court,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Acacia spectabilis,Acacia spectabilis,Acacia spectabilis,Acacia spectabilis,Acacia,species,APC,accepted,A.Cunn. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia spilleriana,Acacia spilleriana,Acacia spilleriana,Acacia spilleriana,Acacia,species,APC,accepted,J.E.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia terminalis,Acacia terminalis,Acacia terminalis,Acacia terminalis [alternative possible names: Acacia alaticaulis (pro parte misapplied) | Acacia elata (misapplied)],Acacia,species,APC,accepted,(Salisb.) J.F.Macbr.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Acacia trachyphloia,Acacia trachyphloia,Acacia trachyphloia,Acacia trachyphloia,Acacia,species,APC,accepted,Tindale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia ulicifolia,Acacia ulicifolia,Acacia ulicifolia,Acacia ulicifolia,Acacia,species,APC,accepted,(Salisb.) Court,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acacia veronica,Acacia veronica,Acacia veronica,Acacia veronica,Acacia,species,APC,accepted,Maslin,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acer,Acer sp. [Acer],NA,Acer sp. [Acer],Acer,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea,species,APC,accepted,L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Aciphylla,species,APC,accepted,(F.Muell.) Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acmena,Acmena sp. [Acmena],NA,Acmena sp. [Acmena],Syzygium,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-known genus (2023-09-04),NA,NA
Acmena ingens,Acmena ingens,Syzygium ingens,Syzygium ingens,Syzygium,species,APC,accepted,(F.Muell. ex C.Moore) Craven & Biffin,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Acmena smithii,Acmena smithii,Syzygium smithii,Syzygium smithii,Syzygium,species,APC,accepted,(Poir.) Nied.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Acronychia,Acronychia sp. [Acronychia],NA,Acronychia sp. [Acronychia],Acronychia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Acronychia imperforata,Acronychia imperforata,Acronychia imperforata,Acronychia imperforata,Acronychia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Acrothamnus hookeri,Acrothamnus hookeri,Acrothamnus hookeri,Acrothamnus hookeri,Acrothamnus,species,APC,accepted,(Sond.) Quinn,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Actinotus helianthi,Actinotus helianthi,Actinotus helianthi,Actinotus helianthi,Actinotus,species,APC,accepted,Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Adansonia,Adansonia sp. [Adansonia],NA,Adansonia sp. [Adansonia],Adansonia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Adenanthos,Adenanthos sp. [Adenanthos],NA,Adenanthos sp. [Adenanthos],Adenanthos,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Adriana hookeri,Adriana hookeri,Adriana tomentosa var. hookeri,Adriana tomentosa var. hookeri,Adriana,species,APC,accepted,(F.Muell.) C.L.Gross & M.A.Whalen,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Aegiceras corniculatum,Aegiceras corniculatum,Aegiceras corniculatum,Aegiceras corniculatum,Aegiceras,species,APC,accepted,(L.) Blanco,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum,Ageratum,species,APC,accepted,Mill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Agonis,Agonis sp. [Agonis],NA,Agonis sp. [Agonis],Agonis,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,Agonis,species,APC,accepted,(Willd.) Sweet,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Agrostocrinum,Agrostocrinum sp. [Agrostocrinum],NA,Agrostocrinum sp. [Agrostocrinum],Agrostocrinum,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Albizia,Albizia sp. [Albizia],NA,Albizia sp. [Albizia],Albizia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Alectryon coriaceus,Alectryon coriaceus,Alectryon coriaceus,Alectryon coriaceus,Alectryon,species,APC,accepted,(Benth.) Radlk.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Aleurites moluccanus,Aleurites moluccanus,Aleurites moluccanus,Aleurites moluccanus,Aleurites,species,APC,accepted,(L.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina,Allocasuarina sp. [Allocasuarina],NA,Allocasuarina sp. [Allocasuarina],Allocasuarina,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina,species,APC,accepted,(F.Muell.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina,subspecies,APC,accepted,(C.R.P.Andrews) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina campestris,Allocasuarina campestris,Allocasuarina campestris,Allocasuarina campestris,Allocasuarina,species,APC,accepted,(Diels) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina corniculata,Allocasuarina corniculata,Allocasuarina corniculata,Allocasuarina corniculata,Allocasuarina,species,APC,accepted,(F.Muell.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina dielsiana,Allocasuarina dielsiana,Allocasuarina dielsiana,Allocasuarina dielsiana,Allocasuarina,species,APC,accepted,(C.A.Gardner) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina,species,APC,accepted,L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina distyla,Allocasuarina distyla,Allocasuarina distyla,Allocasuarina distyla,Allocasuarina,species,APC,accepted,(Vent.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina,species,APC,accepted,(Miq.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina helmsii,Allocasuarina helmsii,Allocasuarina helmsii,Allocasuarina helmsii,Allocasuarina,species,APC,accepted,(Ewart & M.Gordon) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina huegeliana,Allocasuarina huegeliana,Allocasuarina huegeliana,Allocasuarina huegeliana,Allocasuarina,species,APC,accepted,(Miq.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina humilis,Allocasuarina humilis,Allocasuarina humilis,Allocasuarina humilis,Allocasuarina,species,APC,accepted,(Otto & A.Dietr.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina inophloia,Allocasuarina inophloia,Allocasuarina inophloia,Allocasuarina inophloia,Allocasuarina,species,APC,accepted,(F.Muell. & F.M.Bailey) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina,species,APC,accepted,(Salisb.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina luehmannii,Allocasuarina luehmannii,Allocasuarina luehmannii,Allocasuarina luehmannii,Allocasuarina,species,APC,accepted,(R.T.Baker) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina muelleriana,Allocasuarina muelleriana,Allocasuarina muelleriana,Allocasuarina muelleriana,Allocasuarina,species,APC,accepted,(Miq.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina nana,Allocasuarina nana,Allocasuarina nana,Allocasuarina nana,Allocasuarina,species,APC,accepted,(Sieber ex Spreng.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina striata,Allocasuarina striata,Allocasuarina striata,Allocasuarina striata,Allocasuarina,species,APC,accepted,(Macklin) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina torulosa,Allocasuarina torulosa,Allocasuarina torulosa,Allocasuarina torulosa,Allocasuarina,species,APC,accepted,(Aiton) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Allocasuarina verticillata,Allocasuarina verticillata,Allocasuarina verticillata,Allocasuarina verticillata,Allocasuarina,species,APC,accepted,(Lam.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
