updated_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,avg_maturity_primary_score,avg_maturity_secondary_score,bin_maturity_primary_score,min_maturity_primary_score,min_maturity_secondary_score,score_GM
Eucalyptus camaldulensis,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus cambageana,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Eucalyptus camfieldii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus campaspe,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus capitellata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus cephalocarpa,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus cinerea,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Corymbia citriodora,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus cladocalyx,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus cloeziana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus cneorifolia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus coccifera,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus conglobata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus conglomerata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus cornuta,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus cosmophylla,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus crebra,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus cunninghamii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus curtisii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus cylindriflora,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus cypellocarpa,TRUE,TRUE,NA,NA,5--20,5,3,0.2,0.2,NA,NA,1,0.2,0.2,0.275945932
Eucalyptus dalrympleana,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus dealbata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus deanei,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus decipiens,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus delegatensis,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Corymbia dichromophloia,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus diversicolor,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus diversifolia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus dives,TRUE,TRUE,NA,2,5--20,2,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Eucalyptus obtusiflora subsp. dongarraensis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus dumosa,TRUE,TRUE,NA,5,5--20,5,NA,0.2,0.2,NA,1,1,0.2,NA,0.380730788
Eucalyptus dundasii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus dunnii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus dwyeri,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Eucalyptus elata,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus eudesmioides,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus eugenioides,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus exserta,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus fasciculosa,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus fibrosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Corymbia confertiflora,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Eucalyptus foecunda,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus forrestiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus gamophylla,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus globoidea,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus globulus,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus globulus subsp. bicostata,TRUE,TRUE,NA,7,5--20,7,NA,0.2,0.2,NA,1,1,1,NA,0.525305561
Eucalyptus gomphocephala,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus gongylocarpa,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus goniocalyx,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus gracilis,TRUE,TRUE,NA,5,5--20,5,NA,0.2,0.2,NA,1,1,0.2,NA,0.380730788
Eucalyptus grandis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus griffithsii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus haemastoma,TRUE,TRUE,NA,NA,5--20,3,2.69379845,0.2,0.2,NA,NA,1,0.2,0.2,0.275945932
Eucalyptus moluccana,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus houseana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus howittiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus incrassata,TRUE,TRUE,NA,5,5--20,5,NA,0.2,0.2,NA,1,1,0.2,NA,0.380730788
Eucalyptus intertexta,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus jacksonii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus jensenii,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus jutsonii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus kitsoniana,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus largiflorens,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus leptocalyx,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus leptophleba,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus leptopoda,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus lesouefii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus leucoxylon,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus longifolia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus loxophleba,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus luehmanniana,TRUE,FALSE,NA,NA,NA,2,2,0.2,1,NA,NA,NA,0.2,0.2,0.299069756
Eucalyptus macarthurii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus macrandra,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus macrorhyncha,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Corymbia maculata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus major,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus mannifera subsp. mannifera,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus marginata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus melanophloia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus melliodora,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus microcarpa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus microcorys,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus microneura,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus microtheca,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus miniata,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus muelleriana,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus pauciflora subsp. niphophila,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus nitens,FALSE,TRUE,NA,NA,5--20,6,NA,1,0.2,NA,NA,1,1,NA,0.668740305
Eucalyptus nitida,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus normantonensis,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus obliqua,TRUE,TRUE,NA,2,5--20,2,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Eucalyptus occidentalis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus ochrophloia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus odontocarpa,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus odorata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus oldfieldii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus oleosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus oligantha,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus orgadophila,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus ovata,TRUE,NA,NA,NA,5--20,5,3,0.2,NA,NA,NA,1,0.2,0.2,0.299069756
Eucalyptus pachyphylla,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus panda,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus paniculata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Corymbia papuana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus pauciflora,TRUE,TRUE,NA,NA,5--20,6,NA,0.2,0.2,NA,NA,1,1,NA,0.447213595
Eucalyptus phoenicea,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus pileata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus pilularis,TRUE,TRUE,NA,NA,5--20,5,4.031007752,0.2,0.2,NA,NA,1,0.2,1,0.380730788
Eucalyptus piperita,TRUE,TRUE,NA,NA,NA,NA,3.023255814,0.2,0.2,NA,NA,NA,NA,1,0.341995189
Eucalyptus planchoniana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus platypus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus utilis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus polyanthemos,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus populnea,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus propinqua,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus pruinosa,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus globulus subsp. pseudoglobulus,TRUE,TRUE,NA,7,5--20,7,NA,0.2,0.2,NA,1,1,1,NA,0.525305561
Eucalyptus pulchella,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus pulverulenta,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus punctata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus pyriformis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus racemosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus radiata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus radiata subsp. robertsonii,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus raveretiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus redunca,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus regnans,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus resinifera,TRUE,TRUE,NA,NA,NA,NA,3.682170543,0.2,0.2,NA,NA,NA,NA,1,0.341995189
Eucalyptus robusta,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus rodwayi,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus rossii,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus camaldulensis subsp. camaldulensis,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus roycei,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus rubida,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus rudis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus saligna,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus salmonophloia,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus salubris,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Eucalyptus seeana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus sheathiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus siderophloia,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus sideroxylon,TRUE,TRUE,NA,3,NA,3,NA,0.2,0.2,NA,0.2,NA,0.2,NA,0.2
Eucalyptus sieberi,TRUE,NA,NA,4,5--20,4,NA,0.2,NA,NA,1,1,0.2,NA,0.447213595
Eucalyptus similis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus socialis,TRUE,TRUE,NA,5,5--20,5,NA,0.2,0.2,NA,1,1,0.2,NA,0.380730788
Eucalyptus sphaerocarpa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus sporadica,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus squamosa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus stellulata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus striaticalyx,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus stricta,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus tectifica,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus tenuipes,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus tenuiramis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus tereticornis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus tetrodonta,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus tetraptera,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus thozetiana,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus tindaliae,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus torquata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Corymbia trachyphloia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus transcontinentalis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus umbra,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus uncinata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus viminalis,TRUE,TRUE,NA,NA,5--20,5,3,0.2,0.2,NA,NA,1,0.2,0.2,0.275945932
Eucalyptus viminalis subsp. viminalis,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Eucalyptus wandoo,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus willisii,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus woollsiana,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Argyrotegium mackayi,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euphrasia collina subsp. diversicolor,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euphrasia crassiuscula,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euroschinus falcata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Ewartia nubigena,TRUE,FALSE,NA,NA,1--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Exocarpos cupressiformis,TRUE,TRUE,NA,NA,5--20,5,1.182170543,0.2,0.2,NA,NA,1,0.2,0.2,0.275945932
Ficus benjamina,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Ficus macrophylla,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Ficus opposita,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Ficus rubiginosa,TRUE,TRUE,NA,2.7,5--20,3,2.713178295,0.2,0.2,NA,0.2,1,0.2,0.2,0.261532097
Ficus watkinsiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Flindersia brayleyana,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flindersia maculosa,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Gahnia erythrocarpa,TRUE,NA,NA,NA,NA,3,1.763565891,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Gahnia lanigera,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Gahnia sieberiana,TRUE,TRUE,NA,2,5--20,2,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Gastrolobium grandiflorum,TRUE,NA,NA,NA,2--3,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Gastrolobium spinosum,FALSE,TRUE,3,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.341995189
Geijera parviflora,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Gentianella diemensis,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Gentianella muelleriana,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Glischrocaryon roei,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Goodenia paniculata,TRUE,NA,NA,0.5,0--1,1,NA,0.2,NA,NA,0.2,0.2,0.2,NA,0.2
Grevillea australis,FALSE,TRUE,NA,NA,5--20,10,NA,1,0.2,NA,NA,1,1,NA,0.668740305
Grevillea buxifolia,FALSE,FALSE,NA,NA,NA,1.666667,NA,1,1,NA,NA,NA,0.2,NA,0.584803548
Grevillea eriostachya,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Grevillea juncifolia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Grevillea lanigera,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Grevillea nematophylla,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Grevillea petrophiloides,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Grevillea pinaster,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Grevillea pterosperma,FALSE,TRUE,NA,NA,6--10,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Guioa lasioneura,TRUE,TRUE,NA,NA,5--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Guioa semiglauca,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Hakea erinacea,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Hakea rugosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Hakea ruscifolia,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Hakea teretifolia,TRUE,TRUE,NA,NA,5--20,2.965116,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Hakea trifurcata,FALSE,TRUE,4,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.341995189
Harmogia densifolia,TRUE,TRUE,NA,NA,1--5,2.015504,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Ozothamnus alpinus,TRUE,TRUE,NA,NA,1--5,5,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Xerochrysum bracteatum,FALSE,TRUE,0.75,NA,1,NA,NA,1,0.2,0.2,NA,0.2,NA,NA,0.299069756
Coronidium rutidolepis,TRUE,NA,NA,NA,NA,1,0.348837209,0.2,NA,NA,NA,NA,0.2,0.2,0.2
Coronidium scorpioides,TRUE,TRUE,NA,NA,1--5,1,0.310077519,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Leucochrysum albicans,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Rhodanthe anthemoides,TRUE,NA,NA,1,0--1,1,NA,0.2,NA,NA,0.2,0.2,0.2,NA,0.2
